Tick PD1 PD2 PD3
0050 103 000 196
0051 100 000 196
0052 099 000 196
0053 098 000 196
0054 098 000 196
0055 099 000 196
0056 100 000 196
0057 102 000 196
0058 107 000 196
0059 115 000 196
0060 123 000 196
0061 133 000 196
0062 145 000 196
0063 158 000 196
0064 169 000 196
0065 180 000 196
0066 189 000 196
0067 196 000 196
0068 197 000 196
0069 197 000 196
0070 197 000 196
0071 197 000 196
0072 197 000 196
0073 197 000 196
0074 197 000 196
0075 197 000 196
0076 197 000 196
0077 197 000 196
0078 197 000 196
0079 197 000 196
0080 197 000 196
0081 197 000 196
0082 197 000 196
0083 189 000 196
0084 179 000 196
0085 168 000 196
0086 155 000 196
0087 143 000 196
0088 130 000 196
0089 120 000 196
0090 112 000 196
0091 106 000 196
0092 102 000 196
0093 101 000 196
0094 100 000 196
0095 099 000 196
0096 099 000 196
0097 099 000 196
0098 100 000 196
0099 101 000 196
0100 104 000 196
0101 109 000 196
0102 114 000 196
0103 120 000 196
0104 127 000 196
0105 137 000 196
0106 147 000 196
0107 156 000 196
0108 165 000 196
0109 175 000 196
0110 184 000 196
0111 191 000 196
0112 197 000 196
0113 197 000 196
0114 197 000 196
0115 197 000 196
0116 197 000 194
0117 197 000 190
0118 197 000 186
0119 197 000 181
0120 197 000 175
0121 197 000 167
0122 197 000 159
0123 197 000 150
0124 197 000 140
0125 192 000 128
0126 182 000 116
0127 171 000 103
0128 158 000 089
0129 144 000 077
0130 131 000 064
0131 120 000 053
0132 112 000 043
0133 106 000 033
0134 102 000 025
0135 100 000 019
0136 099 000 013
0137 099 000 009
0138 099 000 006
0139 099 000 004
0140 100 000 003
0141 102 000 002
0142 106 000 001
0143 111 000 000
0144 118 000 000
0145 127 000 000
0146 136 000 000
0147 148 000 000
0148 159 000 000
0149 170 000 000
0150 180 000 000
0151 189 000 000
0152 196 000 000
0153 196 000 000
0154 196 000 000
0155 196 000 000
0156 196 000 000
0157 196 001 000
0158 196 002 000
0159 196 003 000
0160 196 005 000
0161 196 007 000
0162 196 010 000
0163 196 014 000
0164 196 020 000
0165 196 026 000
0166 194 035 000
0167 185 045 000
0168 175 055 000
0169 163 067 000
0170 151 081 000
0171 139 097 001
0172 127 112 003
0173 119 128 006
0174 111 144 010
0175 106 159 016
0176 104 172 023
0177 102 182 031
0178 102 188 040
0179 101 194 051
0180 102 197 064
0181 102 197 077
0182 103 197 091
0183 107 197 105
0184 113 197 118
0185 120 197 131
0186 131 197 144
0187 143 197 156
0188 157 197 166
0189 172 197 175
0190 184 197 182
0191 195 197 188
0192 197 197 193
0193 197 197 197
0194 197 197 197
0195 197 197 197
0196 197 197 197
0197 197 197 197
0198 197 197 197
0199 197 197 197
0200 197 197 197
0201 197 197 197
0202 197 197 197
0203 197 197 197
0204 195 197 197
0205 188 197 197
0206 180 197 197
0207 172 197 197
0208 163 197 197
0209 154 197 197
0210 145 197 197
0211 137 197 197
0212 130 197 197
0213 123 197 197
0214 118 197 197
0215 114 197 197
0216 111 197 197
0217 108 197 197
0218 107 197 197
0219 107 197 197
0220 106 197 197
0221 106 197 197
0222 106 197 197
0223 107 197 197
0224 108 197 197
0225 111 197 197
0226 117 197 197
0227 125 197 197
0228 138 197 197
0229 153 197 197
0230 171 197 197
0231 186 197 197
0232 197 198 197
0233 197 198 197
0234 197 198 197
0235 197 198 197
0236 197 197 197
0237 197 197 197
0238 197 198 197
0239 197 197 197
0240 197 197 197
0241 197 197 197
0242 193 197 197
0243 181 197 197
0244 167 197 197
0245 154 197 197
0246 142 197 197
0247 133 197 197
0248 126 196 197
0249 120 196 197
0250 116 196 197
0251 114 196 197
0252 113 196 197
0253 112 196 197
0254 112 196 197
0255 112 196 197
0256 112 195 197
0257 112 195 197
0258 112 195 197
0259 113 195 197
0260 114 195 197
0261 115 195 197
0262 117 196 197
0263 120 196 197
0264 123 196 197
0265 128 196 197
0266 134 196 197
0267 141 196 197
0268 147 196 197
0269 154 196 197
0270 161 196 197
0271 166 196 197
0272 170 196 197
0273 171 196 197
0274 168 196 197
0275 162 196 197
0276 154 196 197
0277 144 196 197
0278 134 196 197
0279 124 196 197
0280 114 196 197
0281 104 196 197
0282 092 196 197
0283 078 196 197
0284 063 196 193
0285 046 197 187
0286 032 197 179
0287 020 197 169
0288 012 197 158
0289 006 197 145
0290 003 197 132
0291 002 197 119
0292 001 197 105
0293 000 197 092
0294 000 197 079
0295 000 197 067
0296 001 197 057
0297 002 197 047
0298 005 197 039
0299 009 197 032
0300 015 197 025
0301 022 197 020
0302 031 197 016
0303 041 197 012
0304 051 197 009
0305 061 197 007
0306 070 197 006
0307 078 197 004
0308 085 197 003
0309 091 197 003
0310 096 197 002
0311 100 197 002
0312 103 197 001
0313 106 197 001
0314 107 197 000
0315 108 197 000
0316 108 197 000
0317 107 197 000
0318 105 197 000
0319 102 197 000
0320 097 197 000
0321 090 197 000
0322 080 197 000
0323 067 197 000
0324 053 197 000
0325 039 197 000
0326 026 197 000
0327 017 197 000
0328 010 197 000
0329 007 197 000
0330 008 197 001
0331 011 197 001
0332 018 197 002
0333 026 197 002
0334 038 197 004
0335 051 197 005
0336 065 197 008
0337 080 197 011
0338 097 197 016
0339 116 195 022
0340 134 192 029
0341 152 188 037
0342 167 182 046
0343 180 175 056
0344 192 166 066
0345 197 157 077
0346 197 146 088
0347 197 133 099
0348 197 120 109
0349 197 107 119
0350 197 093 129
0351 197 081 139
0352 197 069 149
0353 197 057 158
0354 197 046 166
0355 197 036 173
0356 197 027 180
0357 197 019 186
0358 197 013 192
0359 189 008 196
0360 177 005 196
0361 163 002 196
0362 150 001 196
0363 139 000 196
0364 130 000 196
0365 124 000 196
0366 120 000 196
0367 119 000 196
0368 118 000 196
0369 117 000 196
0370 117 000 196
0371 117 000 196
0372 118 000 196
0373 121 000 196
0374 127 000 196
0375 137 000 196
0376 149 000 196
0377 163 000 196
0378 177 000 196
0379 191 000 196
0380 197 000 196
0381 197 000 196
0382 197 000 196
0383 197 000 196
0384 197 000 196
0385 197 000 196
0386 197 000 196
0387 197 000 196
0388 197 000 196
0389 197 000 196
0390 197 000 193
0391 197 000 188
0392 189 000 183
0393 179 000 177
0394 169 000 170
0395 160 000 163
0396 151 000 155
0397 143 000 146
0398 135 000 137
0399 129 000 128
0400 124 000 118
0401 120 000 108
0402 117 000 097
0403 115 000 086
0404 114 000 076
0405 114 000 066
0406 113 000 056
0407 113 000 047
0408 113 000 038
0409 113 000 030
0410 114 000 024
0411 116 000 018
0412 121 000 013
0413 129 000 009
0414 140 000 007
0415 154 000 005
0416 169 000 003
0417 185 000 002
0418 196 000 001
0419 196 000 001
0420 196 000 000
0421 196 000 000
0422 196 000 000
0423 196 000 000
0424 196 000 000
0425 196 000 000
0426 196 000 000
0427 196 000 000
0428 184 000 000
0429 171 000 000
0430 157 000 000
0431 146 000 000
0432 136 000 000
0433 129 000 000
0434 124 000 000
0435 120 000 000
0436 119 000 000
0437 118 000 000
0438 117 000 000
0439 117 000 000
0440 117 000 000
0441 117 000 000
0442 117 000 000
0443 117 000 000
0444 118 000 000
0445 119 000 000
0446 122 000 000
0447 127 000 000
0448 134 000 000
0449 144 000 000
0450 155 000 000
0451 166 001 000
0452 176 002 000
0453 182 003 000
0454 182 005 000
0455 177 007 000
0456 167 013 000
0457 156 023 000
0458 145 034 000
0459 133 043 000
0460 121 056 000
0461 109 072 000
0462 095 089 000
0463 080 109 000
0464 064 129 000
0465 047 147 000
0466 032 164 000
0467 020 177 000
0468 011 186 000
0469 005 193 000
0470 002 197 000
0471 001 197 000
0472 000 197 000
0473 000 197 000
0474 000 197 000
0475 000 197 000
0476 000 197 000
0477 001 197 000
0478 004 197 000
0479 010 197 000
0480 016 197 000
0481 026 197 000
0482 036 197 000
0483 047 197 000
0484 060 197 000
0485 072 197 000
0486 082 197 000
0487 090 197 000
0488 097 197 000
0489 102 197 000
0490 106 197 000
0491 109 197 000
0492 111 197 000
0493 113 197 000
0494 113 197 000
0495 112 197 000
0496 109 197 000
0497 105 197 000
0498 099 197 000
0499 091 197 000
0500 080 197 000
0501 067 197 000
0502 052 197 000
0503 038 197 000
0504 026 197 000
0505 017 197 000
0506 010 197 000
0507 006 197 000
0508 005 197 000
0509 007 197 000
0510 011 197 000
0511 017 196 000
0512 026 191 000
0513 038 184 000
0514 052 174 000
0515 069 163 000
0516 090 149 000
0517 113 134 000
0518 136 118 000
0519 158 102 000
0520 177 085 000
0521 192 068 000
0522 196 052 000
0523 196 039 000
0524 196 028 000
0525 196 020 000
0526 196 014 000
0527 196 009 000
0528 196 006 000
0529 197 004 000
0530 197 002 000
0531 196 001 000
0532 196 001 000
0533 196 000 000
0534 196 000 000
0535 188 000 000
0536 177 000 000
0537 166 000 000
0538 155 000 000
0539 145 000 000
0540 137 000 000
0541 131 000 000
0542 126 000 000
0543 123 000 000
0544 121 000 000
0545 120 000 000
0546 120 000 000
0547 119 000 000
0548 119 000 000
0549 119 000 000
0550 121 000 000
0551 124 000 000
0552 129 000 000
0553 138 000 000
0554 150 000 000
0555 166 000 000
0556 182 000 000
0557 196 000 000
0558 196 000 000
0559 196 000 000
0560 197 000 000
0561 196 000 000
0562 196 000 000
0563 196 000 000
0564 196 000 000
0565 196 000 000
0566 196 000 000
0567 196 000 000
0568 184 000 000
0569 163 000 000
0570 140 000 000
0571 117 000 000
0572 094 000 000
0573 073 000 000
0574 055 000 000
0575 040 000 000
0576 028 000 000
0577 020 000 000
0578 013 000 000
0579 009 000 000
0580 006 000 000
0581 004 000 000
0582 003 000 000
0583 003 000 000
0584 003 000 000
0585 004 000 000
0586 007 000 000
0587 011 000 000
0588 016 000 000
0589 022 000 000
0590 030 000 000
0591 038 000 000
0592 049 000 000
0593 059 000 000
0594 070 000 000
0595 081 000 000
0596 091 000 000
0597 099 000 000
0598 106 000 000
0599 111 000 000
0600 115 000 000
0601 117 000 000
0602 118 000 000
0603 116 000 000
0604 113 000 000
0605 108 000 000
0606 099 000 000
0607 088 000 000
0608 074 000 000
0609 058 000 000
0610 042 000 000
0611 028 000 000
0612 017 000 000
0613 009 000 000
0614 004 000 000
0615 002 000 000
0616 001 000 000
0617 000 000 000
0618 000 000 000
0619 000 000 000
0620 001 000 000
0621 003 001 000
0622 008 002 000
0623 014 003 000
0624 023 004 000
0625 033 007 000
0626 046 010 000
0627 061 014 000
0628 078 020 000
0629 095 027 000
0630 111 035 000
0631 127 044 000
0632 143 055 000
0633 158 067 000
0634 170 081 000
0635 182 095 000
0636 191 110 000
0637 196 124 000
0638 196 138 000
0639 196 150 000
0640 196 162 000
0641 196 172 000
0642 196 181 000
0643 196 188 000
0644 192 194 000
0645 183 198 000
0646 172 197 000
0647 161 197 001
0648 150 197 001
0649 141 197 002
0650 133 197 002
0651 126 197 003
0652 121 197 004
0653 118 197 006
0654 116 197 009
0655 115 197 012
0656 114 197 017
0657 114 197 022
0658 114 197 029
0659 114 197 036
0660 115 197 045
0661 117 197 055
0662 121 197 066
0663 128 197 078
0664 137 197 091
0665 148 197 104
0666 160 197 117
0667 173 197 130
0668 186 197 143
0669 197 197 155
0670 197 198 165
0671 197 198 174
0672 197 197 181
0673 197 197 187
0674 197 197 193
0675 197 197 197
0676 197 197 197
0677 197 197 197
0678 197 198 197
0679 197 197 197
0680 197 198 197
0681 197 198 197
0682 197 197 197
0683 190 197 197
0684 180 198 197
0685 169 197 197
0686 157 197 197
0687 146 197 197
0688 136 197 197
0689 127 193 197
0690 121 187 197
0691 115 180 197
0692 112 171 197
0693 110 160 197
0694 109 148 197
0695 108 134 197
0696 108 118 197
0697 108 102 197
0698 108 085 197
0699 109 069 196
0700 111 053 196
0701 116 040 196
0702 123 028 196
0703 133 019 196
0704 145 012 196
0705 159 007 196
0706 174 004 196
0707 187 003 196
0708 197 002 196
0709 197 001 196
0710 197 000 196
0711 197 000 196
0712 197 000 192
0713 197 000 185
0714 197 000 178
0715 197 000 170
0716 197 000 162
0717 197 000 152
0718 197 000 143
0719 197 000 133
0720 190 000 124
0721 180 000 114
0722 169 000 105
0723 159 000 095
0724 150 000 085
0725 141 000 076
0726 133 000 066
0727 126 000 057
0728 121 000 048
0729 117 000 040
0730 114 000 033
0731 112 000 027
0732 110 000 021
0733 110 000 017
0734 109 000 013
0735 109 000 010
